model,stage,subset_name,Bias,Coverage_80,IntervalScore_80,wMAPE
NHITS,dl,workshop_1000,-0.1018753197685072,0.6599642857142857,26.60678198788296,0.43844487930725806
LightGBM,ml,workshop_1000,0.018043873404703693,0.6720833333333334,25.613683090137602,0.4652016537270671
AutoETS,baseline,workshop_1000,0.0004370255510333882,0.8993928571428571,25.584161668976748,0.47456727227467754
Chronos-t5-mini,baseline,workshop_1000,-0.16957403029198678,0.7283928571428572,27.208518289156324,0.4923056302524932
SeasonalNaive,baseline,workshop_1000,-0.025829261949948265,0.9443333333333334,32.53974310353369,0.5580176282139953
Naive,baseline,workshop_1000,0.16899957395716333,0.9823690476190476,54.95685242573243,0.6651657417295126
